entry,exit,window,comparison,n,mean,ci_low,ci_high
C,OPEN,main2022,absolute,61,0.47340314972002145,0.08905243169305142,0.9615990445611541
C,OPEN,main2022,vs_open,61,0.0,0.0,0.0
C,OPEN,main2022,vs_1000_no_stop,61,-0.6654550658104927,-1.186409410746275,-0.27279107601188174
C,OPEN,recent2024,absolute,37,0.43525483941109044,-0.06526927687579664,1.3598635837942947
C,OPEN,recent2024,vs_open,37,0.0,0.0,0.0
C,OPEN,recent2024,vs_1000_no_stop,37,-0.46588588150690224,-1.0621047452007029,-0.1244875191848951
WF_ENTRY,OPEN,main2022,absolute,172,-0.02731349621673617,-0.24557252296872917,0.2210562963507836
WF_ENTRY,OPEN,main2022,vs_open,172,0.0,0.0,0.0
WF_ENTRY,OPEN,main2022,vs_1000_no_stop,172,-0.19664150304418998,-0.4601953329955965,0.040102544505980636
WF_ENTRY,OPEN,recent2024,absolute,37,0.43525483941109044,-0.06526927687579664,1.3598635837942947
WF_ENTRY,OPEN,recent2024,vs_open,37,0.0,0.0,0.0
WF_ENTRY,OPEN,recent2024,vs_1000_no_stop,37,-0.46588588150690224,-1.0621047452007029,-0.1244875191848951
C,1000_S0,main2022,absolute,61,1.138858215530514,0.4828921136075677,2.004179769165808
C,1000_S0,main2022,vs_open,61,0.6654550658104927,0.2727910760118816,1.1864094107462746
C,1000_S0,main2022,vs_1000_no_stop,61,0.0,0.0,0.0
C,1000_S0,recent2024,absolute,37,0.9011407209179928,0.3035062325113066,2.096191515877963
C,1000_S0,recent2024,vs_open,37,0.46588588150690224,0.1244875191848951,1.0621047452007026
C,1000_S0,recent2024,vs_1000_no_stop,37,0.0,0.0,0.0
WF_ENTRY,1000_S0,main2022,absolute,172,0.16932800682745383,-0.18733950469370655,0.5622786643398126
WF_ENTRY,1000_S0,main2022,vs_open,172,0.19664150304418998,-0.04010254450598071,0.4601953329955963
WF_ENTRY,1000_S0,main2022,vs_1000_no_stop,172,0.0,0.0,0.0
WF_ENTRY,1000_S0,recent2024,absolute,37,0.9011407209179928,0.3035062325113066,2.096191515877963
WF_ENTRY,1000_S0,recent2024,vs_open,37,0.46588588150690224,0.1244875191848951,1.0621047452007026
