entry,exit,window,eligible,excluded,paired_open_mean,paired_open_cash,delta_mean,delta_cash,opening_stops,bar_stops,delayed,saved_losses,spoiled_winners,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5,no_stop_common,stop_vs_no_stop_mean,stop_vs_no_stop_cash
ON0,OPEN,main2022,1103,0,-0.34216262337168357,-111007.22651305786,0.0,0.0,0,0,2,0,0,1103,-0.34216262337168357,-0.30926844568750744,32.638259292837716,-111007.22651305786,0.5408394328123508,0.5733659405212195,-17.868395174087052,-4.4450975632084475,-111007.22651305786,16.0,57.0,5.0,1.0,30977.721513061002,-0.11430945645885866,-0.35136173208086424,-0.3792521759752631,-0.40650208830696744,-128820.27869514591,281.0,156.0,-0.29338020850629715,-0.3304162713465564,,,
ON0,OPEN,early2022_2023,471,0,-0.3819314287764917,-26504.528365249364,0.0,0.0,0,0,1,0,0,471,-0.3819314287764917,-0.3121156174758957,27.60084925690021,-26504.528365249364,0.3657142565294214,0.38271565195352336,-17.868395174087052,-3.7223601401603923,-26596.586251349356,16.0,24.0,2.0,1.0,10329.48836525,-0.10390277715345646,-0.39907227192160516,-0.43932151799918473,-0.4708439836676899,-31139.375017149367,82.0,35.0,-0.30390214019903117,-0.3610683769341453,,,
ON0,OPEN,recent2024,632,0,-0.31252479529310034,-84502.6981478085,0.0,0.0,0,0,1,0,0,632,-0.31252479529310034,-0.27167062704842526,36.392405063291136,-84502.6981478085,0.6330999955768372,0.6110450800003903,-14.666698421646874,-4.69878004288552,-84502.69814780858,12.0,33.0,3.0,1.0,20648.233147811003,-0.1220650671437391,-0.32854346402438145,-0.374244157149292,-0.4213696826689918,-102315.75032989653,199.0,121.0,-0.24627569440324884,-0.3079586435662441,,,
ON0,OPEN,2022,242,0,-0.35644635025818466,-8388.347406549734,0.0,0.0,0,0,0,0,0,242,-0.35644635025818466,-0.31169266945453244,22.727272727272727,-8388.347406549734,0.1936872045700258,0.1886365266067365,-5.261079058846291,-1.8039242307834444,-8388.347406549734,16.0,12.0,1.0,1.0,4834.8474065499995,-0.05071002861836745,-0.36723364380979695,-0.3930627726290822,-0.420946483715974,-9058.849598349741,21.0,5.0,-0.311514184897981,-0.347951388669971,,,
ON0,OPEN,2023,229,0,-0.4088632584770609,-18116.180958699628,0.0,0.0,0,0,1,0,0,229,-0.4088632584770609,-0.34501918024804895,32.751091703056765,-18116.180958699628,0.4699077541724533,0.4442672232803355,-17.868395174087052,-4.975790297225198,-18362.03944614964,10.0,12.0,1.0,1.0,5494.6409587,-0.16011520136957672,-0.4443155747397969,-0.5288562974336578,-0.5963444206315178,-22751.027610599638,61.0,30.0,-0.25215049172109083,-0.3713051807279306,,,
ON0,OPEN,2024,234,0,-0.3477988964915795,-18709.870684849415,0.0,0.0,0,0,0,0,0,234,-0.3477988964915795,-0.47836829971781414,31.196581196581196,-18709.870684849415,0.6171645675774451,0.607774663591972,-7.757659565589339,-4.8669948813203145,-18709.87068484942,12.0,12.0,1.0,1.0,5027.945684849999,-0.1492522222840295,-0.3913313173956005,-0.4944427331822647,-0.5881127742953012,-25932.42998214943,76.0,45.0,-0.22573815724692572,-0.37293072379131714,,,
ON0,OPEN,2025,232,0,-0.29763400897259856,-35172.41129267611,0.0,0.0,0,0,1,0,0,232,-0.29763400897259856,-0.2219690954604448,37.93103448275862,-35172.41129267611,0.6340722699031484,0.5793153692948565,-14.666698421646874,-5.107798514833539,-37321.265661369194,8.0,12.0,1.0,1.0,7460.991292677,-0.10694708469577212,-0.33954423530361016,-0.4429209285068861,-0.5350826139670165,-51013.91900441013,65.0,39.0,-0.14396967566964883,-0.2890679147136511,,,
ON0,OPEN,2026,166,0,-0.28361228171425884,-30620.416170282988,0.0,0.0,0,0,0,0,0,166,-0.28361228171425884,-0.20376974525382555,41.566265060240966,-30620.416170282988,0.6564794075142989,0.6437264855941474,-5.664649953627819,-3.6369271571483828,-30620.416170283002,6.0,9.0,1.0,1.0,8159.296170284,-0.10486975163229557,-0.3218046595173827,-0.4210405200598343,-0.5123091460333371,-43734.76073527299,58.0,37.0,-0.16480649431722447,-0.302831606090638,,,
ON0,0935_S0,main2022,1103,0,-0.34216262337168357,-111007.22651305786,0.0651285042226581,14133.476417156047,0,0,2,157,81,1103,-0.2770341191490255,-0.3313613867786997,39.52855847688123,-96873.75009590184,0.6751220955468828,0.6799666962396435,-17.868395174087052,-5.009001841345126,-101854.1735789511,11.0,57.0,5.0,1.0,30987.170095905003,-0.04904420973395275,-0.2860820533504775,-0.31912701895311196,-0.3524051809449442,-116644.46409234684,341.0,222.0,-0.22849706317212173,-0.27056048376224295,,,
ON0,0935_S0,early2022_2023,471,0,-0.3819314287764917,-26504.528365249364,0.04520880578153138,887.797779049997,0,0,1,73,36,471,-0.3367226229949603,-0.3133845207130232,35.45647558386412,-25616.730586199366,0.508168029296619,0.48557930707560143,-17.868395174087052,-4.4045823993388815,-25714.172112699373,11.0,24.0,2.0,1.0,10331.2455862,-0.05856714659741453,-0.35806413787548375,-0.4059215489781388,-0.4481303767216703,-30422.38771134937,111.0,52.0,-0.25619509010812347,-0.32527114616826885,,,
